Id,Clustering Coefficient,Eccentricity,Closeness Centrality,Betweenness Centrality,Component ID,Strongly-Connected ID
88,0.0,1.0,1.0,0.0,0,112
89,0.0,1.0,1.0,0.0,0,114
90,0.0,1.0,1.0,0.0,0,116
91,0.0,1.0,1.0,0.0,0,117
92,0.0,1.0,1.0,0.0,11,118
93,0.0,1.0,1.0,0.0,14,120
94,0.0,1.0,1.0,0.0,0,121
95,0.0,1.0,1.0,0.0,15,124
96,0.0,1.0,1.0,0.0,0,126
97,0.0,1.0,1.0,0.0,16,128
98,0.0,1.0,1.0,0.0,1,129
99,0.0,1.0,1.0,0.0,0,130
100,0.0,1.0,1.0,0.0,0,132
101,0.0,1.0,1.0,0.0,0,134
102,0.0,1.0,1.0,0.0,0,136
103,0.0,1.0,1.0,0.0,0,137
104,0.0,1.0,1.0,0.0,0,138
105,0.0,1.0,1.0,0.0,0,139
106,0.0,1.0,1.0,0.0,0,140
107,0.0,1.0,1.0,0.0,0,141
108,0.0,1.0,1.0,0.0,0,142
109,0.0,1.0,1.0,0.0,0,143
110,0.0,1.0,1.0,0.0,0,144
111,0.0,1.0,1.0,0.0,0,145
112,0.0,1.0,1.0,0.0,0,146
113,0.0,1.0,1.0,0.0,0,148
114,0.0,1.0,1.0,0.0,17,150
115,0.0,1.0,1.0,0.0,0,151
116,0.0,1.0,1.0,0.0,18,153
117,0.0,1.0,1.0,0.0,0,154
118,0.0,1.0,1.0,0.0,0,156
119,0.0,1.0,1.0,0.0,0,157
120,0.0,1.0,1.0,0.0,0,158
121,0.0,1.0,1.0,0.0,0,159
122,0.0,1.0,1.0,0.0,0,160
123,0.0,1.0,1.0,0.0,19,162
124,0.0,1.0,1.0,0.0,0,163
125,0.0,1.0,1.0,0.0,0,165
126,0.0,1.0,1.0,0.0,20,167
127,0.0,1.0,1.0,0.0,0,168
128,0.0,1.0,1.0,0.0,0,169
129,0.0,1.0,1.0,0.0,21,171
130,0.0,1.0,1.0,0.0,0,172
131,0.0,1.0,1.0,0.0,0,173
132,0.0,1.0,1.0,0.0,0,174
133,0.0,1.0,1.0,0.0,0,175
134,0.0,1.0,1.0,0.0,22,177
135,0.0,1.0,1.0,0.0,23,179
136,0.0,1.0,1.0,0.0,0,180
137,0.0,1.0,1.0,0.0,0,181
138,0.0,1.0,1.0,0.0,0,182
139,0.0,1.0,1.0,0.0,0,183
140,0.0,1.0,1.0,0.0,0,184
141,0.0,1.0,1.0,0.0,0,185
142,0.0,1.0,1.0,0.0,0,186
143,0.0,1.0,1.0,0.0,0,187
144,0.0,1.0,1.0,0.0,9,188
145,0.0,1.0,1.0,0.0,0,189
146,0.0,1.0,1.0,0.0,0,191
147,0.0,1.0,1.0,0.0,0,192
148,0.0,1.0,1.0,0.0,0,193
149,0.0,1.0,1.0,0.0,0,194
150,0.0,1.0,1.0,0.0,0,195
151,0.0,1.0,1.0,0.0,0,196
152,0.0,1.0,1.0,0.0,0,197
153,0.0,1.0,1.0,0.0,0,198
154,0.0,1.0,1.0,0.0,0,199
155,0.0,1.0,1.0,0.0,0,200
156,0.0,1.0,1.0,0.0,24,202
157,0.0,1.0,1.0,0.0,0,203
