Id,Eccentricity,Closeness Centrality,Betweenness Centrality,Clustering Coefficient
366,10.0,6.243243243243243,373.0,0.0
367,9.0,5.878787878787879,362.0,0.0
368,11.0,6.775,366.0,0.0
369,2.0,1.75,32.0,0.0
370,7.0,4.766666666666667,758.0,0.0
371,0.0,0.0,0.0,0.0
372,5.0,3.259259259259259,378.0,0.0
373,4.0,3.142857142857143,105.0,0.0
374,12.0,8.421052631578947,480.0,0.0
375,10.0,6.794871794871795,202.0,0.0
376,11.0,7.463414634146342,215.0,0.0
377,4.0,3.0,40.0,0.0
378,28.0,17.9,248.0,0.0
379,26.0,17.74074074074074,326.0,0.0
380,9.0,6.176470588235294,526.0,0.0
381,0.0,0.0,0.0,0.0
382,2.0,1.75,136.0,0.0
383,8.0,5.333333333333333,542.0,0.0
384,2.0,1.8,85.0,0.0
385,19.0,13.533333333333333,578.0,0.0
386,9.0,6.483870967741935,850.0,0.0
387,11.0,7.486486486486487,798.0,0.0
388,23.0,16.306122448979593,438.0,0.0
389,24.0,16.365384615384617,416.0,0.0
390,11.0,7.428571428571429,414.0,0.0
391,13.0,8.150943396226415,557.0,0.1
392,3.0,2.5,96.0,0.0
393,12.0,8.289473684210526,746.0,0.0
394,30.0,19.015873015873016,137.0,0.0
395,9.0,6.108108108108108,185.0,0.0
396,27.0,18.107142857142858,284.0,0.0
397,9.0,6.4375,748.0,0.0
398,12.0,8.285714285714286,199.0,0.0
399,10.0,7.0,508.0,0.0
400,11.0,7.621621621621622,503.0,0.0
401,13.0,8.0,102.0,0.0
402,20.0,14.23913043478261,546.0,0.0
403,4.0,2.64,571.0,0.0
404,6.0,3.896551724137931,760.0,0.0
405,1.0,1.0,132.0,0.0
406,4.0,2.24,2321.0,0.015151516
407,1.0,1.0,303.0,0.05
408,6.0,3.84,660.0,0.0
409,5.0,2.64,696.0,0.05
410,5.0,2.96,952.0,0.0
411,5.0,3.074074074074074,515.0,0.0
412,6.0,3.9642857142857144,508.0,0.0
413,0.0,0.0,0.0,0.083333336
414,7.0,4.46875,556.0,0.0
415,5.0,2.8,300.0,0.1
416,0.0,0.0,0.0,0.0
417,5.0,3.074074074074074,846.0,0.0
418,6.0,3.642857142857143,371.0,0.0
419,0.0,0.0,0.0,0.0
420,7.0,4.448275862068965,372.0,0.0
421,5.0,3.0,760.0,0.0
422,10.0,7.090909090909091,873.0,0.0
423,7.0,4.827586206896552,852.0,0.0
424,10.0,6.585365853658536,431.0,0.0
425,13.0,9.205128205128204,455.0,0.0
426,1.0,1.0,72.0,0.0
427,14.0,9.85,708.0,0.0
428,3.0,2.4,37.0,0.0
429,6.0,4.333333333333333,117.0,0.0
430,9.0,5.725,446.0,0.0
431,10.0,7.0588235294117645,764.0,0.0
432,8.0,5.083333333333333,132.0,0.0
433,7.0,4.9,120.0,0.0
434,18.0,12.818181818181818,608.0,0.0
435,21.0,14.936170212765957,512.0,0.0
436,22.0,15.625,476.0,0.0
437,12.0,8.255813953488373,395.0,0.0
438,6.0,3.9642857142857144,850.0,0.0
439,7.0,4.866666666666666,426.0,0.0
440,6.0,4.142857142857143,386.0,0.0
441,0.0,0.0,0.0,0.0
442,0.0,0.0,0.0,0.0
443,0.0,0.0,0.0,0.0
444,0.0,0.0,0.0,0.0
445,0.0,0.0,0.0,0.0
446,0.0,0.0,0.0,0.0
447,0.0,0.0,0.0,0.0
448,0.0,0.0,0.0,0.0
449,0.0,0.0,0.0,0.0
450,0.0,0.0,0.0,0.0
451,0.0,0.0,0.0,0.0
452,0.0,0.0,0.0,0.0
453,0.0,0.0,0.0,0.0
454,0.0,0.0,0.0,0.0
455,0.0,0.0,0.0,0.0
456,0.0,0.0,0.0,0.0
457,0.0,0.0,0.0,0.0
458,0.0,0.0,0.0,0.0
459,6.0,3.409090909090909,84.0,0.0
460,7.0,4.0,77.0,0.0
461,0.0,0.0,0.0,0.0
462,0.0,0.0,0.0,0.0
463,0.0,0.0,0.0,0.0
464,10.0,5.666666666666667,120.0,0.0
465,1.0,1.0,8.0,0.0
466,15.0,9.193548387096774,186.0,0.0
467,10.0,6.238095238095238,103.0,0.0
468,7.0,4.6875,4.0,0.0
469,16.0,11.560975609756097,177.0,0.0
470,5.0,2.6923076923076925,299.0,0.0
471,5.0,3.6666666666666665,60.0,0.0
472,3.0,2.0,79.0,0.083333336
473,5.0,3.259259259259259,54.0,0.0
474,10.0,7.147058823529412,339.0,0.0
475,12.0,8.54054054054054,301.0,0.0
476,11.0,7.75,327.0,0.0
477,11.0,7.882352941176471,866.0,0.0
478,1.0,1.0,21.0,0.0
479,0.0,0.0,0.0,0.0
480,0.0,0.0,0.0,0.0
481,16.0,11.23913043478261,0.0,0.0
482,4.0,2.7142857142857144,60.0,0.5
483,5.0,3.75,0.0,0.5
484,20.0,8.995850622406639,177.0,0.25
485,8.0,5.454545454545454,44.0,0.0
486,6.0,3.7,52.0,0.0
487,7.0,3.7777777777777777,38.0,0.0
488,10.0,5.1,138.0,0.0
489,4.0,2.8,65.0,0.0
490,8.0,4.2,133.0,0.0
491,0.0,0.0,0.0,0.0
492,0.0,0.0,0.0,0.0
493,16.0,10.549019607843137,783.0,0.0
494,6.0,3.090909090909091,121.0,0.0
495,1.0,1.0,72.0,0.0
496,2.0,1.75,92.0,0.0
497,0.0,0.0,0.0,0.0
498,5.0,3.259259259259259,432.0,0.0
499,7.0,4.6875,558.0,0.0
500,6.0,3.933333333333333,516.0,0.0
501,2.0,1.6666666666666667,45.0,0.0
502,9.0,5.972972972972973,664.0,0.0
503,11.0,7.190476190476191,750.0,0.0
504,8.0,5.411764705882353,596.0,0.0
505,10.0,6.666666666666667,693.0,0.0
506,0.0,0.0,0.0,0.0
507,13.0,8.666666666666666,756.0,0.0
508,0.0,0.0,0.0,0.0
509,7.0,3.4285714285714284,138.0,0.0
510,0.0,0.0,0.0,0.0
511,9.0,4.315789473684211,150.0,0.0
512,0.0,0.0,0.0,0.0
513,3.0,2.25,56.0,0.0
514,12.0,8.023255813953488,739.0,0.0
515,20.0,11.890625,878.0,0.0
516,19.0,12.907407407407407,702.0,0.0
517,17.0,11.346153846153847,758.0,0.0
518,14.0,9.297872340425531,769.0,0.0
519,21.0,10.55952380952381,1254.0,0.06666667
520,18.0,12.132075471698114,731.0,0.0
521,15.0,9.74,806.0,0.0
522,5.0,2.5555555555555554,108.0,0.0
523,0.0,0.0,0.0,0.0
524,0.0,0.0,0.0,0.0
525,0.0,0.0,0.0,0.0
526,0.0,0.0,0.0,0.0
527,5.0,3.259259259259259,508.73333333333335,0.0
528,0.0,0.0,0.0,0.0
529,6.0,3.75,591.7333333333333,0.0
530,0.0,0.0,0.0,0.16666667
531,0.0,0.0,0.0,0.0
532,6.0,3.5833333333333335,0.0,0.0
533,8.0,4.7368421052631575,131.0,0.0
534,5.0,3.0,465.0,0.0
535,6.0,3.8125,480.0,0.0
536,7.0,4.588235294117647,493.0,0.0
537,10.0,6.571428571428571,546.0,0.0
538,9.0,5.85,540.0,0.0
539,8.0,5.105263157894737,532.0,0.0
540,11.0,7.0,575.0,0.0
541,12.0,7.708333333333333,576.0,0.0
542,5.0,2.6666666666666665,17.0,0.0
543,4.0,2.5,15.0,0.0
544,4.0,2.6666666666666665,104.0,0.0
545,13.0,8.4,575.0,0.0
546,0.0,0.0,0.0,0.0
547,14.0,10.162162162162161,833.0,0.0
548,19.0,8.323651452282158,831.0,0.25
549,17.0,11.285714285714286,92.0,0.0
550,15.0,10.894736842105264,818.0,0.0
551,5.0,3.259259259259259,54.0,0.0
552,19.0,13.32,231.0,0.0
553,18.0,12.571428571428571,274.0,0.0
554,2.0,1.9761904761904763,126.0,0.0
555,2.0,1.9722222222222223,142.0,0.0
556,20.0,14.058823529411764,186.0,0.0
557,9.0,5.666666666666667,33.0,0.0
558,0.0,0.0,0.0,0.0
559,1.0,1.0,20.0,0.0
560,6.0,3.25,104.0,0.0
561,2.0,1.5,42.0,0.0
562,0.0,0.0,0.0,0.0
563,0.0,0.0,0.0,0.0
564,0.0,0.0,0.0,0.0
565,0.0,0.0,0.0,0.0
566,19.0,8.28630705394191,1202.5,0.071428575
567,6.0,3.6923076923076925,23.0,0.0
568,5.0,3.2857142857142856,42.0,0.0
569,12.0,6.590909090909091,108.0,0.0
570,18.0,7.817427385892116,872.3666666666666,0.23333333
571,0.0,0.0,0.0,0.0
572,11.0,6.233333333333333,185.5,0.083333336
573,15.0,10.825,211.0,0.0
574,4.0,2.6666666666666665,42.0,0.0
575,14.0,8.777777777777779,577.0,0.0
576,4.0,3.7037037037037037,135.0,0.0
577,3.0,2.0,40.0,0.0
578,2.0,1.6666666666666667,27.0,0.0
579,0.0,0.0,0.0,0.0
580,1.0,1.0,20.0,0.0
581,7.0,4.9,50.0,0.0
582,19.0,7.071942446043166,0.0,0.0
